ID,Gene,gene-onnection,Status,Variant and risk allele,P-value,P-value annotation,RAF,OR,Beta,CI,Mapped gene,Reported trait,Trait(s),Study accession,Location,Grouping
832,MYO1B,MYO1B,N/a,rs1400884-<b>?</b>,3 x 10-6,(PC 34:3),NR,'-,0.21137981 unit decrease,[0.12-0.3],MYO1B,Metabolite levels,phosphatidylcholine 34:3 measurement,GCST009391,2:191496714,Metabolism
2109,NKPD1,NKPD1,N/a,rs10417602-<b>T</b>,1 x 10-11,,NR,'-,0.0305 unit increase,[0.022-0.039],"MARK4, NKPD1",Apolipoprotein B levels,apolipoprotein B measurement,GCST90019496,19:45157381,Metabolism
2110,NKPD1,NKPD1,N/a,rs10421247-<b>T</b>,1 x 10-35,,NR,'-,0.0297 unit decrease,[0.025-0.034],"NKPD1, MARK4",Apolipoprotein B levels,apolipoprotein B measurement,GCST90019496,19:45154228,Metabolism
466,PDGFD,PDGFD,N/a,rs7930114-<b>?</b>,2 x 10-6,,NR,'-,0.4242 unit decrease,[NR],PDGFD,3-hydroxypropylmercapturic acid levels in smokers,"smoking behavior, 3-hydroxypropylmercapturic acid measurement",GCST002956,11:104170883,Metabolism
2108,PDGFD,PDGFD,N/a,rs115739682-<b>T</b>,4 x 10-8,,0.808467,'-,0.0145929 unit increase,[0.0094-0.0198],PDGFD,Apolipoprotein B levels,apolipoprotein B measurement,GCST010243,11:103999912,Metabolism
2117,PDGFD,PDGFD,N/a,rs145184406-<b>T</b>,4 x 10-9,,0.808425,'-,0.0147506 unit increase,[0.0098-0.0197],PDGFD,Apolipoprotein A1 levels,apolipoprotein A 1 measurement,GCST010241,11:103999913,Metabolism
2122,PDGFD,PDGFD,N/a,rs7127296-<b>?</b>,8 x 10-6,(anthranilic acid),NR,'-,0.20721538 unit decrease,[0.12-0.3],"PDGFD, MIR4693",Metabolite levels,anthranilic acid measurement,GCST009391,11:103900193,Metabolism
2184,PDGFD,PDGFD,N/a,rs11226171-<b>?</b>,2 x 10-6,(alanine),NR,'-,1.9834033 unit decrease,[1.17-2.79],PDGFD,Metabolite levels,alanine measurement,GCST009391,11:104113826,Metabolism
52,PPM1K,PPM1K,N/a,rs74962708-<b>T</b>,3 x 10-12,,NR,'-,0.074 unit increase,[0.053-0.095],"PPM1K, PPM1K-DT",Urate levels,urate measurement,GCST90019524,4:88284508,Metabolism
55,PPM1K,PPM1K,N/a,rs28793136-<b>C</b>,6 x 10-55,,NR,'-,0.0707 unit increase,[0.062-0.08],PPM1K-DT,Urate levels,urate measurement,GCST90019524,4:88295616,Metabolism
58,PPM1K,PPM1K,N/a,rs4693211-<b>C</b>,1 x 10-82,,NR,'-,0.0941 unit increase,[0.084-0.104],PPM1K-DT,Urate levels,urate measurement,GCST90019524,4:88327909,Metabolism
61,PPM1K,PPM1K-DT,N/a,rs28793136-<b>C</b>,6 x 10-55,,NR,'-,0.0707 unit increase,[0.062-0.08],PPM1K-DT,Urate levels,urate measurement,GCST90019524,4:88295616,Metabolism
64,PPM1K,PPM1K-DT,N/a,rs4693211-<b>C</b>,1 x 10-82,,NR,'-,0.0941 unit increase,[0.084-0.104],PPM1K-DT,Urate levels,urate measurement,GCST90019524,4:88327909,Metabolism
67,PPM1K,PPM1K-DT,N/a,rs74962708-<b>T</b>,3 x 10-12,,NR,'-,0.074 unit increase,[0.053-0.095],"PPM1K, PPM1K-DT",Urate levels,urate measurement,GCST90019524,4:88284508,Metabolism
531,PPM1K,PPM1K,N/a,rs7661312-<b>?</b>,4 x 10-13,(Val),NR,'-,0.091263585 unit increase,NR,PPM1K,Serum metabolite levels,serum metabolite measurement,GCST009242,4:88279855,Metabolism
532,PPM1K,PPM1K,N/a,rs7661312-<b>?</b>,2 x 10-17,(Val),NR,'-,0.09077292 unit increase,NR,PPM1K,Serum metabolite levels (CMS),serum metabolite measurement,GCST009240,4:88279855,Metabolism
533,PPM1K,PPM1K,N/a,rs34813495-<b>?</b>,2 x 10-16,(Leu),NR,'-,0.06857474 unit increase,NR,PPM1K-DT,Serum metabolite levels (CMS),serum metabolite measurement,GCST009240,4:88291925,Metabolism
534,PPM1K,PPM1K,N/a,rs34813495-<b>?</b>,1 x 10-6,(Leu),NR,'-,0.060484387 unit increase,NR,PPM1K-DT,Serum metabolite levels,serum metabolite measurement,GCST009242,4:88291925,Metabolism
535,PPM1K,PPM1K-DT,N/a,rs34813495-<b>?</b>,2 x 10-16,(Leu),NR,'-,0.06857474 unit increase,NR,PPM1K-DT,Serum metabolite levels (CMS),serum metabolite measurement,GCST009240,4:88291925,Metabolism
536,PPM1K,PPM1K-DT,N/a,rs34813495-<b>?</b>,1 x 10-6,(Leu),NR,'-,0.060484387 unit increase,NR,PPM1K-DT,Serum metabolite levels,serum metabolite measurement,GCST009242,4:88291925,Metabolism
970,PPM1K,PPM1K,N/a,rs1440581-<b>?</b>,2 x 10-16,(Fischer's ratio),NR,'-,0.13 unit increase,[0.091-0.169],PPM1K-DT,Metabolite levels,metabolite measurement,GCST001391,4:88305270,Metabolism
971,PPM1K,PPM1K-DT,N/a,rs1440581-<b>?</b>,2 x 10-16,(Fischer's ratio),NR,'-,0.13 unit increase,[0.091-0.169],PPM1K-DT,Metabolite levels,metabolite measurement,GCST001391,4:88305270,Metabolism
1730,PPM1K,PPM1K,N/a,rs1440581-<b>?</b>,1 x 10-10,,0.47,'-,'-,'-,PPM1K-DT,Metabolite levels,coronary artery calcification,GCST001639,4:88305270,Metabolism
1731,PPM1K,PPM1K-DT,N/a,rs1440581-<b>?</b>,1 x 10-10,,0.47,'-,'-,'-,PPM1K-DT,Metabolite levels,coronary artery calcification,GCST001639,4:88305270,Metabolism
2006,PPM1K,PPM1K,N/a,rs34226052-<b>?</b>,5 x 10-12,"(Valine, conditioned)",NR,'-,0.0967459 unit decrease,[0.069-0.124],"ABCG2, PPM1K",Metabolite levels (small molecules and protein measures),"blood metabolite measurement, protein measurement, amino acid measurement",GCST003666,4:88242371,Metabolism
2007,PPM1K,PPM1K,N/a,rs9637599-<b>C</b>,2 x 10-35,(Valine),0.47,'-,0.11 unit increase,[0.09-0.13],PPM1K-DT,Metabolite levels (small molecules and protein measures),"blood metabolite measurement, protein measurement, amino acid measurement",GCST003666,4:88285078,Metabolism
2008,PPM1K,PPM1K-DT,N/a,rs9637599-<b>C</b>,2 x 10-35,(Valine),0.47,'-,0.11 unit increase,[0.09-0.13],PPM1K-DT,Metabolite levels (small molecules and protein measures),"blood metabolite measurement, protein measurement, amino acid measurement",GCST003666,4:88285078,Metabolism
2009,PPM1K,PPM1K,N/a,rs10022462-<b>T</b>,5 x 10-11,(2-aminobutyrate),0.45,'-,0.012 unit decrease,[0.0081-0.0159],PPM1K-DT,Blood metabolite levels,blood metabolite measurement,GCST002443,4:88322666,Metabolism
2010,PPM1K,PPM1K,N/a,rs1440581-<b>T</b>,1 x 10-19,(leucine),0.46,'-,0.008 unit decrease,[0.006-0.01],PPM1K-DT,Blood metabolite levels,blood metabolite measurement,GCST002443,4:88305270,Metabolism
2011,PPM1K,PPM1K,N/a,rs1440581-<b>T</b>,1 x 10-16,(3-methyl-2-oxovalerate),0.46,'-,0.014 unit decrease,[0.01-0.018],PPM1K-DT,Blood metabolite levels,blood metabolite measurement,GCST002443,4:88305270,Metabolism
2012,PPM1K,PPM1K,N/a,rs1440581-<b>T</b>,3 x 10-12,(valine),0.46,'-,0.008 unit decrease,[0.006-0.01],PPM1K-DT,Blood metabolite levels,blood metabolite measurement,GCST002443,4:88305270,Metabolism
2013,PPM1K,PPM1K-DT,N/a,rs10022462-<b>T</b>,5 x 10-11,(2-aminobutyrate),0.45,'-,0.012 unit decrease,[0.0081-0.0159],PPM1K-DT,Blood metabolite levels,blood metabolite measurement,GCST002443,4:88322666,Metabolism
2014,PPM1K,PPM1K-DT,N/a,rs1440581-<b>T</b>,1 x 10-19,(leucine),0.46,'-,0.008 unit decrease,[0.006-0.01],PPM1K-DT,Blood metabolite levels,blood metabolite measurement,GCST002443,4:88305270,Metabolism
2015,PPM1K,PPM1K-DT,N/a,rs1440581-<b>T</b>,1 x 10-16,(3-methyl-2-oxovalerate),0.46,'-,0.014 unit decrease,[0.01-0.018],PPM1K-DT,Blood metabolite levels,blood metabolite measurement,GCST002443,4:88305270,Metabolism
2016,PPM1K,PPM1K-DT,N/a,rs1440581-<b>T</b>,3 x 10-12,(valine),0.46,'-,0.008 unit decrease,[0.006-0.01],PPM1K-DT,Blood metabolite levels,blood metabolite measurement,GCST002443,4:88305270,Metabolism
93,RBM25,RBM25,N/a,rs17570658-<b>?</b>,5 x 10-6,(tyrosine),NR,'-,0.3967962 unit increase,[0.23-0.57],"RN7SL586P, RBM25",Metabolite levels,tyrosine measurement,GCST009391,14:73058413,Metabolism
70,RCN2,RCN2,N/a,rs932046-<b>T</b>,5 x 10-11,,NR,'-,0.056 unit increase,[0.039-0.073],"RN7SL278P, RCN2",Urate levels,urate measurement,GCST90019524,15:76955213,Metabolism
507,RCN2,RCN2,N/a,rs932046-<b>T</b>,7 x 10-12,,NR,'-,0.0584 unit increase,[0.042-0.075],"RN7SL278P, RCN2",Urea levels,serum urea measurement,GCST90019525,15:76955213,Metabolism
972,SLC22A4,SLC22A4,N/a,rs272889-<b>A</b>,7 x 10-16,(isovalerylcarnitine + 7 other traits),0.37,'-,0.084 unit increase,[NR],"SLC22A4, MIR3936HG",Metabolic traits,metabolite measurement,GCST001217,5:132329685,Metabolism
537,SLC22A4,SLC22A4,N/a,rs273913-<b>?</b>,2 x 10-11,(3dehydrocarnitine),NR,'-,0.0298 unit increase,[NR],"MIR3936HG, SLC22A4",Serum metabolite levels,serum metabolite measurement,GCST006249,5:132325463,Metabolism
538,SLC22A4,SLC22A4,N/a,rs272889-<b>?</b>,9 x 10-15,(isovalerylcarnitine),NR,'-,0.04099 unit increase,[NR],"SLC22A4, MIR3936HG",Serum metabolite levels,serum metabolite measurement,GCST006249,5:132329685,Metabolism
2017,SLC22A4,SLC22A4,N/a,rs272889-<b>A</b>,3 x 10-51,(valine/isovalerylcarnitine),0.37,'-,0.039 unit decrease,[0.033-0.045],"SLC22A4, MIR3936HG",Blood metabolite ratios,blood metabolite measurement,GCST002442,5:132329685,Metabolism
2018,SLC22A4,SLC22A4,N/a,rs419291-<b>T</b>,3 x 10-18,(carnitine),0.37,'-,0.008 unit increase,[0.006-0.01],SLC22A4,Blood metabolite levels,blood metabolite measurement,GCST002443,5:132297662,Metabolism
2019,SLC22A4,SLC22A4,N/a,rs11950562-<b>A</b>,2 x 10-41,(isovalerylcarnitine),0.52,'-,0.036 unit increase,[0.03-0.042],"MIR3936HG, SLC22A4",Blood metabolite levels,blood metabolite measurement,GCST002443,5:132316836,Metabolism
2020,SLC22A4,SLC22A4,N/a,rs273913-<b>T</b>,1 x 10-25,(3-dehydrocarnitine),0.38,'-,0.026 unit increase,[0.02-0.032],"MIR3936HG, SLC22A4",Blood metabolite levels,blood metabolite measurement,GCST002443,5:132325463,Metabolism
2021,SLC22A4,SLC22A4,N/a,rs272869-<b>A</b>,1 x 10-11,(hexanoylcarnitine),0.37,'-,0.022 unit increase,[0.016-0.028],"MIR3936HG, SLC22A4",Blood metabolite levels,blood metabolite measurement,GCST002443,5:132342304,Metabolism
2022,SLC22A4,SLC22A4,N/a,rs273914-<b>A</b>,3 x 10-11,(oleoylcarnitine),0.37,'-,0.023 unit increase,[0.015-0.031],"SLC22A4, MIR3936HG",Blood metabolite levels,blood metabolite measurement,GCST002443,5:132324738,Metabolism
2023,SLC22A4,SLC22A4,N/a,rs11950562-<b>A</b>,7 x 10-11,(homostachydrine),0.53,'-,0.03 unit increase,[0.020-0.040],"MIR3936HG, SLC22A4",Blood metabolite levels,blood metabolite measurement,GCST002443,5:132316836,Metabolism
2204,SLC22A4,SLC22A4,N/a,rs270602-<b>T</b>,2 x 10-15,(Acetylcarnitine),0.3826,'-,0.0505 unit increase,[0.038-0.063],"MIR3936HG, SLC22A4",Acylcarnitine levels,"acylcarnitine measurement, blood metabolite measurement",GCST002961,5:132321007,Metabolism
2205,SLC22A4,SLC22A4,N/a,rs270601-<b>T</b>,8 x 10-16,(Octadecenoylcarnitine),0.2979,'-,0.0433 unit increase,[0.033-0.054],"MIR3936HG, SLC22A4",Acylcarnitine levels,"acylcarnitine measurement, blood metabolite measurement",GCST002961,5:132321304,Metabolism
2111,TF,TF,N/a,rs6762415-<b>G</b>,1 x 10-9,,NR,'-,0.0152 unit decrease,[0.01-0.02],TF,Apolipoprotein A1 levels,apolipoprotein A 1 measurement,GCST90019495,3:133759713,Metabolism
1513,TGM3,TGM3,N/a,rs126635-<b>?</b>,4 x 10-6,(glycerol),NR,'-,6.0770044 unit increase,[3.49-8.66],TGM3,Metabolite levels,glycerol measurement,GCST009391,20:2333260,Metabolism
2,APOB,APOB,N/a,rs10495713-<b>?</b>,8 x 10-9,(Posterior limb of internal capsule),'-,'-,'-,'-,APOB,White matter microstructure (mode of anisotropy),white matter microstructure measurement,GCST009536,2:20977647,Nervous System
213,APOB,APOB,N/a,rs562338-<b>?</b>,5 x 10-21,,NR,'-,'-,'-,"APOB, TDRD15","Age-related diseases, mortality and associated endophenotypes","total cholesterol measurement, hematocrit, stroke, ventricular rate measurement, body mass index, atrial fibrillation, high density lipoprotein cholesterol measurement, coronary artery disease, cancer, diastolic blood pressure, triglyceride measurement, systolic blood pressure, heart failure, diabetes mellitus, glucose measurement, mortality",GCST004045,2:21065449,Nervous System
221,APOB,APOB,N/a,rs562338-<b>?</b>,5 x 10-21,,NR,'-,'-,'-,"APOB, TDRD15","Age-related diseases, mortality and associated endophenotypes","total cholesterol measurement, hematocrit, stroke, ventricular rate measurement, body mass index, atrial fibrillation, high density lipoprotein cholesterol measurement, coronary artery disease, cancer, diastolic blood pressure, triglyceride measurement, systolic blood pressure, heart failure, diabetes mellitus, glucose measurement, mortality",GCST004045,2:21065449,Nervous System
2147,APOB,APOB,N/a,rs2678379-<b>?</b>,1 x 10-19,,'-,'-,'-,'-,APOB,Alzheimer's disease or HDL levels (pleiotropy),"Alzheimer's disease, high density lipoprotein cholesterol measurement",GCST007827,2:21003688,Nervous System
916,ARHGAP24,ARHGAP24,N/a,rs4693128-<b>T</b>,1 x 10-7,,0.17587,1.09834,'-,[1.06-1.13],ARHGAP24,Neuroblastoma or malignant cutaneous melanoma,"neuroblastoma, cutaneous melanoma",GCST010152,4:85809561,Nervous System
18,C11orf71,C11orf71,N/a,rs2847476-<b>?</b>,3 x 10-6,(ALLV),NR,'-,'-,'-,"NNMT, C11orf71",Volumetric brain MRI,volumetric brain MRI,GCST000088,11:114320294,Nervous System
2031,CDKN2AIP,CDKN2AIP,N/a,rs4241767-<b>?</b>,9 x 10-6,,'-,'-,152.1046 unit decrease,[NR],CDKN2AIP,Cerebrospinal fluid AB1-42 levels,beta-amyloid 1-42 measurement,GCST006672,4:183431985,Nervous System
847,CHL1,CHL1,N/a,rs3773384-<b>C</b>,4 x 10-6,,0.58,2.3255813,'-,[1.28-12.5],"CHL1, CHL1-AS1",Parkinsonism in frontotemporal lobe dementia,"Parkinson's disease, Frontotemporal dementia",GCST006153,3:374758,Nervous System
848,CHL1,CHL1-AS1,N/a,rs3773384-<b>C</b>,4 x 10-6,,0.58,2.3255813,'-,[1.28-12.5],"CHL1, CHL1-AS1",Parkinsonism in frontotemporal lobe dementia,"Parkinson's disease, Frontotemporal dementia",GCST006153,3:374758,Nervous System
1779,CHL1,CHL1,N/a,rs35210560-<b>C</b>,3 x 10-6,,0.283743,'-,0.68471986 unit increase,[0.42-0.95],CHL1,Caudate activity during reward,"caudate nucleus measurement, functional brain measurement, response to reward",GCST004970,3:219074,Nervous System
839,DNAJC9,DNAJC9,N/a,rs13401549-<b>?</b> x rs17738368-<b>?</b>,5 x 10-12,,NR,'-,'-,'-,"No mapped genes x FAM149B1, DNAJC9",Total PHF-tau (SNP x SNP interaction),PHF-tau measurement,GCST010340,10:73242769,Nervous System
911,DNM3,DNM3,N/a,rs3026627-<b>?</b> x rs9425308-<b>?</b>,1 x 10-9,,NR,'-,'-,'-,"ZNF831 - EDN3 x DNM3, PIGC",Neurofibrillary tangles (SNP x SNP interaction),neurofibrillary tangles measurement,GCST010343,20:59280688|1:172414125,Nervous System
940,DNM3,DNM3,N/a,rs4641331-<b>G</b>,4 x 10-6,,0.9,1.4285715,'-,[NR],DNM3,Moyamoya disease,Moyamoya disease,GCST005575,1:172070315,Nervous System
1773,DPP7,DPP7,N/a,rs13631-<b>?</b>,7 x 10-14,(Dipeptidyl peptidase 2),NR,'-,'-,'-,DPP7,Cerebrospinal fluid biomarker levels,cerebrospinal fluid biomarker measurement,GCST004000,9:137111750,Nervous System
850,FCGR2A,FCGR2A,N/a,rs6658353-<b>C</b>,6 x 10-12,,0.5011,'-,0.065 unit increase,[0.047-0.083],"RNU6-481P, FCGR2A",Parkinson's disease or first degree relation to individual with Parkinson's disease,Parkinson's disease,GCST009325,1:161499264,Nervous System
1772,FCGR2A,FCGR2A,N/a,rs1801274-<b>G</b>,9 x 10-36,(Low affinity immunoglobulin gamma Fc region receptor II-a/b),NR,'-,'-,'-,FCGR2A,Cerebrospinal fluid biomarker levels,cerebrospinal fluid biomarker measurement,GCST004000,1:161509955,Nervous System
838,FGF12,FGF12,N/a,rs877333-<b>?</b> x rs1922911-<b>?</b>,9 x 10-8,,NR,'-,'-,'-,No mapped genes x FGF12,Total PHF-tau (SNP x SNP interaction),PHF-tau measurement,GCST010340,3:192614237,Nervous System
914,FGF12,FGF12,N/a,rs2199398-<b>?</b> x rs4687306-<b>?</b>,3 x 10-9,,NR,'-,'-,'-,"No mapped genes x FGF12-AS1, FGF12",Neurofibrillary tangles (SNP x SNP interaction),neurofibrillary tangles measurement,GCST010343,3:192271230,Nervous System
915,FGF12,FGF12-AS1,N/a,rs2199398-<b>?</b> x rs4687306-<b>?</b>,3 x 10-9,,NR,'-,'-,'-,"No mapped genes x FGF12-AS1, FGF12",Neurofibrillary tangles (SNP x SNP interaction),neurofibrillary tangles measurement,GCST010343,3:192271230,Nervous System
1812,H2AC6,H2AC6,N/a,rs72834694-<b>?</b>,1 x 10-9,(right putamen),NR,'-,'-,'-,"H2AC6, H1-4",Brain region volumes,brain volume measurement,GCST009518,6:26144930,Nervous System
918,IL20RB,IL20RB,N/a,rs13361104-<b>?</b> x rs6766709-<b>?</b>,3 x 10-8,,NR,'-,'-,'-,No mapped genes x IL20RB - N/A,Neuritic plaques (SNP x SNP interaction),neuritic plaque measurement,GCST010342,3:137051421,Nervous System
411,KC6,KC6,N/a,rs16975050-<b>?</b>,5 x 10-7,,'-,'-,'-,'-,KC6,Amyotrophic lateral sclerosis (sporadic),sporadic amyotrophic lateral sclerosis,GCST002337,18:41607206,Nervous System
913,LINC00308,LINC00308,N/a,rs1472476-<b>?</b> x rs17004123-<b>?</b>,4 x 10-8,,NR,'-,'-,'-,No mapped genes x LINC00308 - RNU4-45P,Neurofibrillary tangles (SNP x SNP interaction),neurofibrillary tangles measurement,GCST010343,21:22144457,Nervous System
3,LINC00578,LINC00578,N/a,rs6766914-<b>?</b>,5 x 10-8,(Superior longitudinal fasciculus),'-,'-,'-,'-,LINC00578,White matter microstructure (mode of anisotropy),white matter microstructure measurement,GCST009536,3:177605079,Nervous System
909,LINC00578,LINC00578,N/a,rs7141420-<b>?</b> x rs13070316-<b>?</b>,1 x 10-10,,NR,'-,'-,'-,NRXN3 x LINC00578,Neurofibrillary tangles (SNP x SNP interaction),neurofibrillary tangles measurement,GCST010343,14:79433111|3:177544755,Nervous System
910,LINC00578,LINC00578,N/a,rs2745477-<b>?</b> x rs1406545-<b>?</b>,1 x 10-9,,NR,'-,'-,'-,No mapped genes x LINC00578,Neurofibrillary tangles (SNP x SNP interaction),neurofibrillary tangles measurement,GCST010343,3:177512861,Nervous System
1696,LINC00578,LINC00578,N/a,rs4241484-<b>?</b>,4 x 10-16,,'-,'-,'-,'-,LINC00578,Cortical surface area (MOSTest),"cortical surface area measurement, neuroimaging measurement",GCST010701,3:177598297,Nervous System
1697,LINC00578,LINC00578,N/a,rs1875102-<b>?</b>,9 x 10-9,,'-,'-,'-,'-,LINC00578,Cortical surface area (min-P),"cortical surface area measurement, neuroimaging measurement",GCST010697,3:177624680,Nervous System
1699,LINC00578,LINC00578,N/a,rs552305-<b>T</b>,4 x 10-10,(Lateral Occipital),0.3995,'-,17.187178 unit increase,[11.81-22.56],LINC00578,Cortical surface area,cortical surface area measurement,GCST010282,3:177577427,Nervous System
1814,LINC00578,LINC00578,N/a,rs35770472-<b>?</b>,2 x 10-8,(left lateral occipital),NR,'-,'-,'-,LINC00578,Brain region volumes,brain volume measurement,GCST009518,3:177581952,Nervous System
1815,LINC00578,LINC00578,N/a,rs13084960-<b>?</b>,1 x 10-11,(Superior temporal),'-,'-,'-,'-,LINC00578,Cortical volume,brain volume measurement,GCST011616,3:177578660,Nervous System
1816,LINC00578,LINC00578,N/a,rs35614773-<b>?</b>,4 x 10-15,,'-,'-,'-,'-,LINC00578,Brain morphology (MOSTest),"brain measurement, neuroimaging measurement",GCST010703,3:177593205,Nervous System
1817,LINC00578,LINC00578,N/a,rs1875102-<b>?</b>,3 x 10-8,,'-,'-,'-,'-,LINC00578,Brain morphology (min-P),"brain measurement, neuroimaging measurement",GCST010699,3:177624680,Nervous System
5,LINC02414,LINC02414,N/a,rs145070280-<b>T</b>,3 x 10-6,,0.0257,'-,0.1131 unit decrease,[0.066-0.161],"LINC02414, RAP1B",Periventricular white matter hyperintensities,white matter hyperintensity measurement,GCST010726,12:131561792,Nervous System
1263,LINC02414,LINC02414,N/a,rs10082903-<b>?</b>,9 x 10-6,,0.41,'-,'-,'-,LINC02414,Circulating leptin levels x sex interaction in high cardiovascular risk,"leptin measurement, sex interaction measurement",GCST009533,12:131593515,Nervous System
2140,LINC02414,LINC02414,N/a,rs12370900-<b>T</b>,4 x 10-6,,0.6219,'-,0.042 unit increase,[0.024-0.06],LINC02414,Central cerebrospinal fluid amyloid beta 42 to 40 ratio,amyloid-beta measurement,GCST90013674,12:131547668,Nervous System
2155,LINC02414,LINC02414,N/a,rs7963314-<b>?</b>,3 x 10-6,(females),NR,1.4279574,'-,'-,LINC02414,Alzheimer's disease,Alzheimer's disease,GCST007600,12:131573284,Nervous System
2157,LINC02502,LINC02502,N/a,rs62319710-<b>G</b>,5 x 10-6,,NR,'-,0.02878494 unit decrease,[0.016-0.041],"LINC02502, LINC01365",Alpha synuclein levels (MTAG),alpha synuclein measurement,GCST011818,4:119884972,Nervous System
2034,MGST1,MGST1,N/a,rs758858632-<b>G</b>,8 x 10-6,,0.0004,3.84356,'-,NR,MGST1,Bell's palsy,Bell's palsy,GCST011354,12:16368123,Nervous System
833,NDST1,NDST1,N/a,rs2647581-<b>?</b> x rs2545342-<b>?</b>,1 x 10-9,,NR,'-,'-,'-,No mapped genes x NDST1,Total PHF-tau (SNP x SNP interaction),PHF-tau measurement,GCST010340,5:150536114,Nervous System
2149,NKPD1,NKPD1,N/a,rs28469095-<b>C</b>,2 x 10-38,,0.09149,'-,12.963469 z-unit increase,NR,"MARK4, NKPD1",Alzheimer's disease or family history of Alzheimer's disease,"Alzheimer's disease, family history of Alzheimer’s disease",GCST007320,19:45152075,Nervous System
2151,NKPD1,NKPD1,N/a,rs10421247-<b>C</b>,7 x 10-9,,0.4994,'-,5.801472 z-unit decrease,NR,"NKPD1, MARK4",Alzheimer's disease or family history of Alzheimer's disease,"Alzheimer's disease, family history of Alzheimer’s disease",GCST007320,19:45154228,Nervous System
1337,OR51B5,OR51B5,N/a,rs2030094-<b>?</b>,4 x 10-6,,'-,'-,'-,'-,"HBG2, OR51I2, OR51B5, HBE1",Inferior parietal cortex volume,inferior parietal cortex volume measurement,GCST009184,11:5453608,Nervous System
40,PDGFD,PDGFD,N/a,rs1681464-<b>?</b>,3 x 10-10,(EA),NR,'-,0.0829 unit decrease,[0.057-0.109],PDGFD,Cortical surface area (visual PC2),visual cortical surface area measurement,GCST010225,11:104141928,Nervous System
834,PDGFD,PDGFD,N/a,rs13113026-<b>?</b> x rs12791086-<b>?</b>,4 x 10-8,,NR,'-,'-,'-,No mapped genes x MIR4693 - PDGFD,Total PHF-tau (SNP x SNP interaction),PHF-tau measurement,GCST010340,11:103870320,Nervous System
849,PDGFD,PDGFD,N/a,rs77942836-<b>A</b>,8 x 10-6,,0.02,'-,0.53 unit decrease,[0.29-0.77],PDGFD,Parkinson's disease motor subtype (tremor to postural instability/gait difficulty score ratio),Parkinson's disease symptom measurement,GCST90000015,11:104045915,Nervous System
908,PDGFD,PDGFD,N/a,rs117457382-<b>A</b>,2 x 10-7,,'-,'-,0.0020824 unit decrease,[0.0013-0.0029],PDGFD,Brain asymmetrical skew (vertical),neuroimaging measurement,GCST90017148,11:103928099,Nervous System
1695,PDGFD,PDGFD,N/a,rs2449611-<b>?</b>,4 x 10-8,,'-,'-,'-,'-,PDGFD,Cortical surface area (min-P),"cortical surface area measurement, neuroimaging measurement",GCST010697,11:104199940,Nervous System
1813,PDGFD,PDGFD,N/a,rs1681464-<b>?</b>,8 x 10-11,(Pericalcarine),'-,'-,'-,'-,PDGFD,Cortical volume,brain volume measurement,GCST011616,11:104141928,Nervous System
41,PHF2,PHF2,N/a,rs4743930-<b>T</b>,3 x 10-9,,0.2505,'-,0.017068336 unit increase,[0.011-0.023],PHF2,Predicted visceral adipose tissue,visceral adipose tissue measurement,GCST008744,9:93683312,Nervous System
414,PHF2,PHF2,N/a,rs10122014-<b>?</b>,4 x 10-6,,NR,'-,1520.4484 unit increase,NR,PHF2,Cerebrospinal fluid sTREM-2 levels,soluble triggering receptor expressed on myeloid cells 2 measurement,GCST009246,9:93591203,Nervous System
1654,PHF2,PHF2,N/a,rs10438600-<b>?</b> x rs4744272-<b>?</b>,1 x 10-7,,NR,'-,'-,'-,No mapped genes x PHF2 - N/A,Diffuse plaques (SNP x SNP interaction),diffuse plaque measurement,GCST010341,9:93706793,Nervous System
620,PMAIP1,PMAIP1,N/a,rs58127855-<b>T</b>,6 x 10-7,,0.01,3.03,'-,[2.01-4.97],"PMAIP1, NFE2L3P1",Restless legs syndrome,restless legs syndrome,GCST011995,18:59943413,Nervous System
2153,PMAIP1,PMAIP1,N/a,rs142176337-<b>T</b>,8 x 10-8,(between families),NR,'-,5.36 unit decrease,'-,"NFE2L3P1, PMAIP1",Alzheimer disease and age of onset,"Alzheimer's disease, age at onset",GCST003427,18:59914255,Nervous System
1819,PROM1,PROM1,N/a,rs116130729-<b>?</b>,2 x 10-7,(French Canadians),'-,3.2881217,'-,'-,PROM1,Intracranial aneurysm,brain aneurysm,GCST005576,4:16011163,Nervous System
1234,RN7SL252P,RN7SL252P,N/a,rs11771984-<b>?</b>,2 x 10-8,,NR,'-,'-,'-,"MARK2P10, RN7SL252P",Lobe attachment (rater-scored or self-reported),lobe attachment,GCST005192,7:96933599,Nervous System
934,RN7SL824P,RN7SL824P,N/a,rs6662618-<b>?</b>,3 x 10-10,,NR,'-,'-,[1.0965-1.1754],"RN7SL824P, GFI1",Multiple sclerosis and type 2 diabetes (pleiotropy),"multiple sclerosis, type II diabetes mellitus",GCST007120,1:92469854,Nervous System
840,ROR1,ROR1,N/a,rs158871-<b>?</b> x rs6686041-<b>?</b>,2 x 10-10,,NR,'-,'-,'-,"No mapped genes x ROR1, ROR1-AS1",Total PHF-tau (SNP x SNP interaction),PHF-tau measurement,GCST010340,1:64147962,Nervous System
841,ROR1,ROR1-AS1,N/a,rs158871-<b>?</b> x rs6686041-<b>?</b>,2 x 10-10,,NR,'-,'-,'-,"No mapped genes x ROR1, ROR1-AS1",Total PHF-tau (SNP x SNP interaction),PHF-tau measurement,GCST010340,1:64147962,Nervous System
